NodeId,UTMx,UTMy,lng,lat,Node_ID
326017,275784.075,1500509.75,144.927998,13.5644598,326017
326023,274322.17,1499967.87,144.914537,13.5594507,326023
326151,274817.322,1499928.58,144.919114,13.5591339,326151
326593,275452.754,1500516.17,144.924937,13.5644924,326593
326758,275023.451,1500193.01,144.920997,13.5615392,326758
327576,275833.526,1499747.72,144.928514,13.5575777,327576
329129,274850.508,1499759.47,144.919433,13.5576083,329129
329143,274422.705,1500202.05,144.915447,13.5615746,329143
329586,275122.6,1499640.46,144.921956,13.5565538,329586
329638,275789.62,1500268.25,144.928068,13.5622779,329638
329735,276122.829,1500609.34,144.931119,13.5653857,329735
376949,275988.619,1499744.11,144.929947,13.5575568,376949
376995,274550.787,1499738.25,144.916667,13.5573935,376995
377726,275882.752,1499975.85,144.928951,13.5596428,377726
377859,275741.073,1500083.38,144.927634,13.5606037,377859
379299,275722.121,1500662.7,144.927413,13.5658371,379299
379870,275517.87,1499755.57,144.925598,13.5576244,379870
325AB4,274736.667,1500316.3,144.918338,13.5626312,325AB4
325ABE,274337.273,1499869.22,144.914684,13.5585605,325ABE
325B21,275967.187,1500265.69,144.929708,13.5622684,325B21
325DBC,275431.184,1500126.99,144.924768,13.560974,325DBC
325FAB,274626.724,1499841.13,144.91736,13.558329,325FAB
32607E,276071.372,1500271.53,144.93067,13.5623292,32607E
3260CE,275056.199,1500385.38,144.921284,13.56328,3260CE
3261AB,275471.27,1500371.19,144.925119,13.5631837,3261AB
3261C7,275290.819,1500379.23,144.923452,13.5632426,3261C7
3261E8,275011.792,1500073.71,144.920898,13.5604603,3261E8*
32622F,275225.793,1500496.08,144.922842,13.5642934,32622F
32634C,274444.339,1499775.49,144.915681,13.5577218,32634C
3263DE,275986.273,1500868.44,144.929837,13.5677166,3263DE
32647C,274628.275,1500112.34,144.917353,13.5607798,32647C
3267E4,275609.696,1500311.69,144.926402,13.5626567,3267E4*
3278D7,275284.776,1499599.36,144.923457,13.5561949,3278D7
327A52,274827.517,1499603.91,144.919233,13.5562008,327A52
327AA3,275253.373,1499867.31,144.923146,13.5586137,327AA3
327AE4,275534.64,1500682.53,144.92568,13.566002,327AE4
327BC4,274239.055,1500111.04,144.913758,13.5607381,327BC4
327E81,276108.695,1500989.17,144.930958,13.5688169,327E81*
327F13,275896.721,1500740.49,144.92902,13.5665535,327F13
327F8B,274466.484,1499912.77,144.915874,13.558964,327F8B
32835A,274915.435,1499877.92,144.920024,13.5586837,32835A
3283E8,274639.562,1499775.14,144.917484,13.5577336,3283E8*
3285C0,274604.112,1499940.68,144.917143,13.5592268,3285C0
3286A4,274998.838,1500303.26,144.920761,13.5625336,3286A4
3286D3,275581.878,1500125.93,144.92616,13.560976,3286D3
32891D,275179.366,1500089.58,144.922445,13.5606165,32891D
328A10,276229.187,1500742.71,144.932091,13.566599,328A10
328B41,274816.499,1500114.52,144.919091,13.560814,328B41
328BAC,274740.842,1499877.57,144.918411,13.558667,328BAC
328D43,274464.072,1500059.23,144.91584,13.5602873,328D43
328DAE,275018.648,1499819.32,144.920982,13.558162,328DAE
328E7E,275136.351,1499496.75,144.922094,13.5552563,328E7E
328E85,274951.514,1499647.95,144.920375,13.5566083,328E85*
328EE9,275379.802,1500425.92,144.92427,13.5636713,328EE9
328FB4,275160.993,1500330.31,144.922256,13.5627905,328FB4
3294D7,273941.385,1500030.27,144.911015,13.5599853,3294D7
329A05,275618.451,1500555.78,144.926464,13.564863,329A05
329CA1,276192.199,1500910.28,144.931736,13.5681104,329CA1
32B7E0,276081.635,1500450.21,144.930751,13.5639446,32B7E0
3647A1,274706.615,1499690.06,144.91811,13.55697,3647A1
3656A1,274998.838,1500303.26,144.920761,13.5625336,3656A1
365B5A,275061.356,1499901.12,144.92137,13.5589046,365B5A
365BFE,274913.158,1500397.84,144.919962,13.5633816,365BFE
36674A,275414.442,1499748.72,144.924643,13.5575545,36674A
367BE4,274911.457,1500002.57,144.919977,13.5598097,367BE4
3684C2,274865.905,1500227.76,144.919539,13.5618411,3684C2
3688DE,275290.886,1500207.32,144.923466,13.5616891,3688DE
37505E,275909.487,1500449.1,144.929161,13.5639214,37505E
376AFA,274041.778,1499937.67,144.91195,13.5591562,376AFA
376F97,275672.505,1499917.88,144.927013,13.5591029,376F97
376FCD,275166.503,1499732.46,144.922354,13.5573885,376FCD
3773DE,274206.87,1499910.5,144.913477,13.5589235,3773DE
377C3F,275283.896,1499995.28,144.923418,13.5597725,377C3F
378A00,275931.353,1499871.41,144.929408,13.5587029,378A00
378A2F,275323.13,1499918.21,144.923786,13.5590791,378A2F
37975F,274605.855,1500299.35,144.917131,13.562468,37975F
37A31D,275511.877,1500201.73,144.925507,13.5616556,37A31D
37A4E9,276088.85,1500823.25,144.930788,13.567316,37A4E9
37A9DA,275316.797,1499753.01,144.923741,13.5575858,37A9DA